step	slope	intercept	MAE_all_next	MAE_last_5	last_actual	last_pred
[12600]	-2.2760693988876534e-05	3.646944263375973	0.04221317811293208	0.09368372999532859	3.058030531	2.964123443709677
[12700]	-1.858949438042271e-05	3.6003088522464215	0.016158409634151123	0.02069301927507685	3.058030531	3.04262402083374
[12800]	-1.95633811768632e-05	3.6104398073907302	0.01817313632100573	0.035707592385577414	3.058030531	3.0235383720848343
[12900]	-1.917929117686321e-05	3.6065000714417503	0.016905035991525055	0.02971233002648921	3.058030531	3.031121336135854
[13000]	-1.8535476242491672e-05	3.6003637423674455	0.016196901135382354	0.019369417490671337	3.058030531	3.044299455092695
[13100]	-1.7698746945495028e-05	3.591910481181684	0.01952634316206315	0.012962246133719013	3.058030531	3.0609480728168332
[13200]	-1.7738982164627394e-05	3.5931200318677052	0.019661154489157506	0.012956516732821832	3.058030531	3.0609505669288835
[13300]	-1.8349958286985554e-05	3.5999772181674454	0.016841044601194944	0.016881921599540474	3.058030531	3.049478469557879
[13400]	-1.622894856284761e-05	3.574046974159362	0.029380114593493135	0.026432058127215143	3.058030531	3.0871785172739337
[13500]	-1.9704220656284754e-05	3.616865666274898	0.017267775091228645	0.03385543352746741	3.058030531	3.0257390465863554
[13600]	-2.031460467630699e-05	3.6258624316837964	0.018920156610736302	0.04248362250107527	3.058030531	3.0164242913945865
[13700]	-2.2536377139043362e-05	3.6531646344866138	0.03384535039066543	0.08083479597211758	3.058030531	2.977073320315313
[13800]	-1.8111918195773073e-05	3.5988419210177973	0.018290613507792278	0.01451050457670755	3.058030531	3.055484375144605
[13900]	-1.8864162391546158e-05	3.6090320780080827	0.016135721196786693	0.02022132384926243	3.058030531	3.043107206261698
[14000]	-1.78720178843159e-05	3.5954606923481642	0.01953531465420385	0.0132693043113016	3.058030531	3.059300155818687
[14100]	-1.7844364640711896e-05	3.594684132038338	0.01959157929136897	0.013262291833311313	3.058030531	3.0593531928169813
[14200]	-1.3982393187986656e-05	3.5452246822134956	0.04735161219017901	0.06399547750848988	3.058030531	3.125752886573896
[14300]	-1.5179997083426036e-05	3.559257422822024	0.03691917463650584	0.04263902300678479	3.058030531	3.103857510319243
[14400]	-1.4670309417130157e-05	3.5510068244518354	0.039768009606407195	0.04944969517563917	3.058030531	3.1108975419379306
[14500]	-1.1617275270300332e-05	3.5125516454774184	0.06565742955996234	0.10121167524004351	3.058030531	3.1640333873684083
[14600]	-1.222753100111233e-05	3.52074656149796	0.06119537022508527	0.09137353441509069	3.058030531	3.1539206314645902
[14700]	-1.3008424956618453e-05	3.5300882632751938	0.05425788578398013	0.07763981980711847	3.058030531	3.13983551457664
[14800]	-9.905256113459395e-06	3.488721680348016	0.08013487236384338	0.1279718761952909	3.058030531	3.191563996944234
[14900]	-9.444424480533935e-06	3.4823428010631807	0.08441568381591763	0.1352105716634029	3.058030531	3.199010066647163
[15000]	-1.043187538820912e-05	3.4958582388102335	0.07684023605289043	0.11954683508865394	3.058030531	3.1829019771639597
[15100]	-1.3022183710789743e-05	3.530073816385613	0.055083315707505034	0.07721880173177623	3.058030531	3.139408305061921
[15200]	-1.4412631127919884e-05	3.5484210964088985	0.043724767990664604	0.05447836057886586	3.058030531	3.116042162571302
[15300]	-1.8578377470522786e-05	3.606057566600074	0.016696154779133374	0.017161117935076	3.058030531	3.04870624248439
[15400]	-1.9241986765294764e-05	3.6143683920091956	0.015641900110398236	0.024902932062476513	3.058030531	3.0371087890503525
[15500]	-2.2297569179087847e-05	3.6578421171661843	0.027577281249387943	0.06910053807586154	3.058030531	2.988915041793549
[15600]	-1.9113936629588404e-05	3.6164071744086765	0.01548770234187089	0.020238398428008075	3.058030531	3.0429890755210245
[15700]	-1.797727284093436e-05	3.5994192974499817	0.01984683493902859	0.013095429886288423	3.058030531	3.060101112221951
[15800]	-1.6886085515016676e-05	3.5862931012404897	0.028256287463409205	0.019368040693148368	3.058030531	3.0797105357899897
[15900]	-1.7804488464961077e-05	3.5991179617520213	0.022059496304021306	0.012261632115350451	3.058030531	3.064983307803189
[16000]	-1.6555567034482753e-05	3.5805928938183915	0.03018296817381139	0.0233264019494261	3.058030531	3.083925882783909
[16100]	-1.474993048943272e-05	3.5536822389701896	0.042793391484033196	0.04977230700745272	3.058030531	3.111184324287208
[16200]	-1.3384756380422697e-05	3.533532458577902	0.05336114306234864	0.06996342153641125	3.058030531	3.131989767165221
[16300]	-1.3402634629588425e-05	3.5343980590493884	0.05410787134969947	0.07030071974505044	3.058030531	3.1323190201617357
[16400]	-1.2920765459399326e-05	3.5270210004180207	0.05802986501851866	0.07716289509277056	3.058030531	3.139398036636041
[16500]	-1.3674107946607326e-05	3.53859539139644	0.053019306979751664	0.06647601557419355	3.058030531	3.1283721529982205
[16600]	-1.1301584418242462e-05	3.502761102269707	0.07125753268852658	0.10074979671064219	3.058030531	3.1637135697224332
[16700]	-1.5151599212458257e-05	3.5605671866566557	0.04193043866266963	0.04478794392851419	3.058030531	3.106019210282908
[16800]	-1.256647860289207e-05	3.520236122087727	0.06075813715844763	0.08084719337226645	3.058030531	3.143241764000965
[16900]	-1.4365181150166843e-05	3.546498696070078	0.04624361750040222	0.05395810708264785	3.058030531	3.115543261565073
[17000]	-1.73013334705228e-05	3.5913546530999634	0.025720743345544177	0.014134231505250528	3.058030531	3.072314648984279
[17100]	-1.816590239154617e-05	3.605152119127698	0.020766666404746757	0.013056121012836597	3.058030531	3.0601750473813127
[17200]	-1.7996997684093443e-05	3.6012252692911386	0.020929752284079086	0.012850020347400903	3.058030531	3.061315338768335
